,Image,Dice_reg,K,Model
48,145698282304700116300882843111967537977_f6qhtv.png,0.8983300062249125,3,affine with kl
49,145698282304700116300882843111967537977_f6qhtv.png,0.9052356927873892,3,affine no kl
50,145698282304700116300882843111967537977_f6qhtv.png,0.9128661475713756,3,affine frozen
51,145698282304700116300882843111967537977_f6qhtv.png,0.9233040174086119,5,affine with kl
52,145698282304700116300882843111967537977_f6qhtv.png,0.9199059931763014,5,affine no kl
53,145698282304700116300882843111967537977_f6qhtv.png,0.9159623504448124,5,affine frozen
54,145698282304700116300882843111967537977_f6qhtv.png,0.9233040174086119,7,affine with kl
55,145698282304700116300882843111967537977_f6qhtv.png,0.9199059931763014,7,affine no kl
56,145698282304700116300882843111967537977_f6qhtv.png,0.9264540105295758,7,affine frozen
57,145698282304700116300882843111967537977_f6qhtv.png,0.9233040174086119,9,affine with kl
58,145698282304700116300882843111967537977_f6qhtv.png,0.9199059931763014,9,affine no kl
59,145698282304700116300882843111967537977_f6qhtv.png,0.9264540105295758,9,affine frozen
60,127776313362848303557368271134995152837_apvrf1.png,0.8038945203286079,1,affine with kl
61,127776313362848303557368271134995152837_apvrf1.png,0.7775667501998793,1,affine no kl
62,127776313362848303557368271134995152837_apvrf1.png,0.8218143486450632,1,affine frozen
63,127776313362848303557368271134995152837_apvrf1.png,0.8375825751075993,3,affine with kl
64,127776313362848303557368271134995152837_apvrf1.png,0.8278213336275281,3,affine no kl
65,127776313362848303557368271134995152837_apvrf1.png,0.8702170751267517,3,affine frozen
66,127776313362848303557368271134995152837_apvrf1.png,0.8375825751075993,5,affine with kl
67,127776313362848303557368271134995152837_apvrf1.png,0.8278213336275281,5,affine no kl
68,127776313362848303557368271134995152837_apvrf1.png,0.8702170751267517,5,affine frozen
69,127776313362848303557368271134995152837_apvrf1.png,0.8375825751075993,7,affine with kl
70,127776313362848303557368271134995152837_apvrf1.png,0.8278213336275281,7,affine no kl
71,127776313362848303557368271134995152837_apvrf1.png,0.8702170751267517,7,affine frozen
72,127776313362848303557368271134995152837_apvrf1.png,0.8627199323013998,9,affine with kl
73,127776313362848303557368271134995152837_apvrf1.png,0.8461801596351197,9,affine no kl
74,127776313362848303557368271134995152837_apvrf1.png,0.8791176710208294,9,affine frozen
75,103416378058309979932405295235813040436_1g2pmw.png,0.8105354943184178,1,affine with kl
76,103416378058309979932405295235813040436_1g2pmw.png,0.804118696665895,1,affine no kl
77,103416378058309979932405295235813040436_1g2pmw.png,0.808302758154902,1,affine frozen
78,103416378058309979932405295235813040436_1g2pmw.png,0.8499795745645669,3,affine with kl
79,103416378058309979932405295235813040436_1g2pmw.png,0.8336586596028174,3,affine no kl
80,103416378058309979932405295235813040436_1g2pmw.png,0.8390996690356544,3,affine frozen
81,103416378058309979932405295235813040436_1g2pmw.png,0.8505609052826288,5,affine with kl
82,103416378058309979932405295235813040436_1g2pmw.png,0.8336586596028174,5,affine no kl
83,103416378058309979932405295235813040436_1g2pmw.png,0.8395047287315389,5,affine frozen
84,103416378058309979932405295235813040436_1g2pmw.png,0.8585614424772979,7,affine with kl
85,103416378058309979932405295235813040436_1g2pmw.png,0.8506256602887663,7,affine no kl
86,103416378058309979932405295235813040436_1g2pmw.png,0.8395047287315389,7,affine frozen
87,103416378058309979932405295235813040436_1g2pmw.png,0.8585614424772979,9,affine with kl
88,103416378058309979932405295235813040436_1g2pmw.png,0.8506256602887663,9,affine no kl
89,103416378058309979932405295235813040436_1g2pmw.png,0.8395047287315389,9,affine frozen
90,278147989796380509519073707235611243961_lgo9hx.png,0.8750181882232212,1,affine with kl
91,278147989796380509519073707235611243961_lgo9hx.png,0.8623941062451252,1,affine no kl
92,278147989796380509519073707235611243961_lgo9hx.png,0.8555618865242395,1,affine frozen
93,278147989796380509519073707235611243961_lgo9hx.png,0.8836323748698433,3,affine with kl
94,278147989796380509519073707235611243961_lgo9hx.png,0.8897360703812317,3,affine no kl
